planner,selection_seed,evaluation_seed,selected_mask,selected_interventions,feasible,robust_lower_improvement,robust_upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
scenario_only_per_seed,44,217,9,repeat_cap;diversify,False,0.20634951205376267,0.22166622810837477,0.11,-0.03716268895501518,0.26829124579124586,0.0
scenario_only_per_seed,44,218,9,repeat_cap;diversify,False,0.20592495811809697,0.22086986841586598,0.11,-0.03678792327577918,0.28673400673400673,0.0
scenario_only_per_seed,44,219,9,repeat_cap;diversify,False,0.2025051190880971,0.22586435332489463,0.11,-0.03720168984674199,0.2286111111111111,0.0
scenario_only_per_seed,45,200,33,repeat_cap;provider_balance,True,0.14702882623774782,0.16303475811563473,0.16999999999999998,-0.032426505730393296,0.12136363636363634,0.0
scenario_only_per_seed,45,201,33,repeat_cap;provider_balance,True,0.14245751409773383,0.16463785935795633,0.16999999999999998,-0.04209229993871344,0.10771885521885527,0.0
scenario_only_per_seed,45,202,33,repeat_cap;provider_balance,True,0.14476613402908323,0.16458462075515778,0.16999999999999998,-0.04545017143344132,0.12139730639730639,0.0
scenario_only_per_seed,45,203,33,repeat_cap;provider_balance,True,0.14543754244788132,0.16528845573385847,0.16999999999999998,-0.03361463560989375,0.10854377104377111,0.0
scenario_only_per_seed,45,204,33,repeat_cap;provider_balance,True,0.14279082166880785,0.1638451504258186,0.16999999999999998,-0.031577280733523394,0.11557239057239044,0.0
scenario_only_per_seed,45,205,33,repeat_cap;provider_balance,True,0.14173795765679748,0.16102865699880542,0.16999999999999998,-0.0489315259034897,0.1325168350168351,0.0
scenario_only_per_seed,45,206,33,repeat_cap;provider_balance,True,0.14803800812838053,0.16325389146674146,0.16999999999999998,-0.04008435072470773,0.10574074074074069,0.0
scenario_only_per_seed,45,207,33,repeat_cap;provider_balance,True,0.14619522705984733,0.16220161208468575,0.16999999999999998,-0.0423725842409054,0.11392255892255898,0.0
scenario_only_per_seed,45,208,33,repeat_cap;provider_balance,True,0.14139579095345822,0.16260709103180454,0.16999999999999998,-0.04258742381803993,0.10693602693602688,0.0
scenario_only_per_seed,45,209,33,repeat_cap;provider_balance,True,0.1480810433750061,0.1605417905742682,0.16999999999999998,-0.03952067701010109,0.09283670033670033,0.0
scenario_only_per_seed,45,210,33,repeat_cap;provider_balance,True,0.1419512731315219,0.16134083133388388,0.16999999999999998,-0.03372664250396551,0.0883585858585858,0.0
scenario_only_per_seed,45,211,33,repeat_cap;provider_balance,True,0.14490014504173032,0.16157860879783403,0.16999999999999998,-0.0347101215080422,0.1138131313131312,0.0
scenario_only_per_seed,45,212,33,repeat_cap;provider_balance,True,0.1445667585937343,0.1634348392256747,0.16999999999999998,-0.035000878994012496,0.116077441077441,0.0
scenario_only_per_seed,45,213,33,repeat_cap;provider_balance,True,0.14762670091776142,0.16377886624725824,0.16999999999999998,-0.043855642639593406,0.14597643097643087,0.0
scenario_only_per_seed,45,214,33,repeat_cap;provider_balance,True,0.14316958201865726,0.1600647862024832,0.16999999999999998,-0.041725054903046566,0.10505050505050506,0.0
scenario_only_per_seed,45,215,33,repeat_cap;provider_balance,True,0.14557971806337539,0.15812655508891182,0.16999999999999998,-0.043549638375181554,0.14042929292929296,0.0
scenario_only_per_seed,45,216,33,repeat_cap;provider_balance,True,0.14453782341012245,0.1630761809911213,0.16999999999999998,-0.04611142696046666,0.11123737373737375,0.0
scenario_only_per_seed,45,217,33,repeat_cap;provider_balance,True,0.14585834882368925,0.16268594424645355,0.16999999999999998,-0.03750731748564995,0.10761784511784511,0.0
scenario_only_per_seed,45,218,33,repeat_cap;provider_balance,True,0.14568081281349554,0.1611752024895553,0.16999999999999998,-0.037042600043674434,0.130993265993266,0.0
scenario_only_per_seed,45,219,33,repeat_cap;provider_balance,True,0.14192029074271784,0.1655550860307602,0.16999999999999998,-0.038360027744352765,0.09700336700336698,0.0
scenario_only_per_seed,46,200,5,repeat_cap;tail_slot,True,0.1921203101140765,0.20521734817483406,0.13,-0.028898147610328828,0.19554713804713808,0.0
scenario_only_per_seed,46,201,5,repeat_cap;tail_slot,False,0.18604617531402162,0.20603640304419385,0.13,-0.04266480496608838,0.21351010101010104,0.0
scenario_only_per_seed,46,202,5,repeat_cap;tail_slot,False,0.1893461521367631,0.20558804933543418,0.13,-0.038439412433795894,0.21717171717171713,0.0
scenario_only_per_seed,46,203,5,repeat_cap;tail_slot,True,0.18936718643602435,0.20603524818232016,0.13,-0.033812051048295655,0.19268518518518518,0.0
scenario_only_per_seed,46,204,5,repeat_cap;tail_slot,False,0.1886226229819692,0.2055566540610163,0.13,-0.02644376900475298,0.22792929292929287,0.0
scenario_only_per_seed,46,205,5,repeat_cap;tail_slot,False,0.18799643226656498,0.20274643922732138,0.13,-0.040410912026314416,0.2647979797979798,0.0
