n_users,mean_diff,ci95,ci90,p_perm,p_wilcoxon,dz,dz_ci95,family,dataset,treatment,comparator,metric,p_perm_holm,p_wilcoxon_holm
6015,0.001307432710889443,"[0.0007378844310390689, 0.0018752720821280126]","[0.0008294197624106401, 0.001781261474231089]",9.999000099990002e-05,1.47507416361143e-09,0.058296889892047565,"[0.03309432654981762, 0.08301644500492437]",c1_shapley,ml1m,shapley-mc,valid-sim,NDCG@20,0.0007999200079992001,8.85044498166858e-09
6015,0.0006666258387364922,"[8.22925246882794e-05, 0.0012513414006899417]","[0.0001795488035910224, 0.0011598266188362428]",0.023797620237976203,0.05959838115121567,0.028771907089865174,"[0.0035241019354592096, 0.053896086081865656]",c1_shapley,ml1m,shapley-mc,valid-linear,NDCG@20,0.08599140085991401,0.11919676230243134
6015,-0.0005959652136325851,"[-0.001253698643566085, 4.311224119700732e-05]","[-0.0011416830109725684, -5.4461304039900365e-05]",0.0685931406859314,3.358223308546125e-05,-0.023359926431119955,"[-0.04941636213178564, 0.0016427084594709213]",c1_shapley,ml1m,shapley-mc,loo-marginal,NDCG@20,0.1371862813718628,0.00016791116542730624
6015,0.007880299251870325,"[0.0052859517871986705, 0.010473815461346634]","[0.005685785536159602, 0.010074812967581047]",9.999000099990002e-05,4.840310260065565e-10,0.07616002909321484,"[0.051752118115461446, 0.10011525039230364]",c1_shapley,ml1m,shapley-mc,uniform,HitRate@20,0.0007999200079992001,3.388217182045896e-09
6015,0.003391521197007481,"[0.001629260182876143, 0.0051870324189526185]","[0.001895261845386534, 0.004889443059019095]",0.0004999500049995,0.00020711950252166243,0.04794676241966896,"[0.023418278752565864, 0.07243737088390537]",c1_shapley,ml1m,shapley-mc,valid-sim,HitRate@20,0.0024997500249975,0.0008284780100866497
6015,0.0021280133000831257,"[0.0003657522859517871, 0.003923524522028263]","[0.0006317539484621781, 0.0035910224438902745]",0.021497850214978503,0.01663237253169631,0.030765592081876392,"[0.005127680963496167, 0.05569535676740336]",c1_shapley,ml1m,shapley-mc,valid-linear,HitRate@20,0.08599140085991401,0.049897117595088934
6015,6.650041562759758e-05,"[-0.0017290108063175394, 0.0018952618453865336]","[-0.0014297589359933503, 0.0016292601828761428]",0.9694030596940306,0.9304151892672118,0.0009220890909452437,"[-0.024136936150043364, 0.02606164898194189]",c1_shapley,ml1m,shapley-mc,loo-marginal,HitRate@20,0.9694030596940306,0.9304151892672118
7417,0.0022121603510853447,"[0.0015450488551098825, 0.0029134681722866383]","[0.0016497525214776863, 0.0027967538065929616]",9.999000099990002e-05,1.3994137879571081e-11,0.07389864242882525,"[0.05711557140766416, 0.08973757495789517]",c1_shapley,amazon_books,shapley-mc,uniform,NDCG@20,0.0007999200079992001,1.1195310303656865e-10
7417,0.0013121050510988268,"[0.000812020289989214, 0.001842329100323581]","[0.0008902322336928676, 0.0017594193930430093]",9.999000099990002e-05,2.820209108726456e-08,0.05794244825409073,"[0.038319796923664155, 0.07699892051348058]",c1_shapley,amazon_books,shapley-mc,valid-sim,NDCG@20,0.0007999200079992001,1.7908561328622172e-07
7417,0.0001273725495483349,"[-0.0003482331864770123, 0.0006067350335108531]","[-0.00026941154499123633, 0.0005403554682081702]",0.5967403259674032,0.07668224313523948,0.0060839704286608735,"[-0.0176056810482813, 0.027497579999238117]",c1_shapley,amazon_books,shapley-mc,valid-linear,NDCG@20,1.0,0.15336448627047897
7417,-0.0006266986973169745,"[-0.0009026448425576378, -0.00035745115268302557]","[-0.0008551136957125521, -0.0004013598285425375]",9.999000099990002e-05,2.5583659040888815e-08,-0.051938902700320824,"[-0.07354514486833781, -0.030102530448103987]",c1_shapley,amazon_books,shapley-mc,loo-marginal,NDCG@20,0.0007999200079992001,1.7908561328622172e-07
7417,0.0035054604287447755,"[0.0021572064176890926, 0.0049076446002426855]","[0.0023729270594580023, 0.004691923958473776]",9.999000099990002e-05,2.7749707597610374e-07,0.059398752908653596,"[0.03790108567838067, 0.07964355462002658]",c1_shapley,amazon_books,shapley-mc,uniform,HitRate@20,0.0007999200079992001,1.3874853798805188e-06
7417,0.002318996899015775,"[0.0011325333692867737, 0.0035330996359714075]","[0.0013212889308345695, 0.003343669947418094]",0.0004999500049995,0.00017453687697704777,0.043745661800530945,"[0.02204808480719094, 0.064816461584004]",c1_shapley,amazon_books,shapley-mc,valid-sim,HitRate@20,0.001999800019998,0.0006981475079081911
7417,-0.00040447620331670486,"[-0.0015370095726034785, 0.0007010920857489551]","[-0.001348254011055683, 0.0005393016044222731]",0.5147485251474853,0.37778391275029455,-0.0082377539541288,"[-0.03167610504743647, 0.01399197732762063]",c1_shapley,amazon_books,shapley-mc,valid-linear,HitRate@20,1.0,0.37778391275029455
7417,-0.001267358770392342,"[-0.002049346096804638, -0.00048537144398004594]","[-0.0019414857759201833, -0.0005932317648645006]",0.0016998300169983002,0.0018833943979118975,-0.03707001900424066,"[-0.058173253288724976, -0.01487465417755306]",c1_shapley,amazon_books,shapley-mc,loo-marginal,HitRate@20,0.005099490050994901,0.005650183193735692
