source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / intervention_success,10,Greedy seq. del.,Random control,250,0.0736,0.010098990101,100,10000,0.020197980202,0.020197980202
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,MC Shapley,LIME,250,0.0032,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,MC Shapley,LOO,250,0.0032,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,MC Shapley,Greedy seq. del.,250,0.0032,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,MC Shapley,Random control,250,0.0104,0.123487651235,1234,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,LIME,LOO,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,LIME,Greedy seq. del.,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,LIME,Random control,250,0.0072,0.248075192481,2480,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,LOO,Greedy seq. del.,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,LOO,Random control,250,0.0072,0.254574542546,2545,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / intervention_success_ndcg,10,Greedy seq. del.,Random control,250,0.0072,0.245175482452,2451,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,MC Shapley,LIME,250,0.000859925305583,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,MC Shapley,LOO,250,0.000859925305583,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,MC Shapley,Greedy seq. del.,250,0.00098913865626,0.501249875012,5012,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,MC Shapley,Random control,250,0.00297759075136,0.030696930307,306,10000,0.30696930307,0.30696930307
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,LIME,LOO,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,LIME,Greedy seq. del.,250,0.000129213350677,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,LIME,Random control,250,0.00211766544578,0.0886911308869,886,10000,0.798220177982,0.798220177982
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,LOO,Greedy seq. del.,250,0.000129213350677,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,LOO,Random control,250,0.00211766544578,0.0932906709329,932,10000,0.798220177982,0.798220177982
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_ndcg,10,Greedy seq. del.,Random control,250,0.0019884520951,0.0925907409259,925,10000,0.798220177982,0.798220177982
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,MC Shapley,LIME,250,-7.96433722589e-05,0.397760223978,3977,10000,0.603939606039,0.603939606039
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,MC Shapley,LOO,250,-9.84363523208e-05,0.30196980302,3019,10000,0.603939606039,0.603939606039
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,MC Shapley,Greedy seq. del.,250,0.00233572995813,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,MC Shapley,Random control,250,0.00255571455809,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,LIME,LOO,250,-1.87929800619e-05,0.024897510249,248,10000,0.0995900409959,0.0995900409959
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,LIME,Greedy seq. del.,250,0.00241537333039,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,LIME,Random control,250,0.00263535793035,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,LOO,Greedy seq. del.,250,0.00243416631045,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,LOO,Random control,250,0.00265415091041,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_primary,10,Greedy seq. del.,Random control,250,0.000219984599964,0.138886111389,1388,10000,0.416658334167,0.416658334167
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,MC Shapley,LIME,250,-7.96433722589e-05,0.404759524048,4047,10000,0.595940405959,0.595940405959
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,MC Shapley,LOO,250,-9.84363523208e-05,0.29797020298,2979,10000,0.595940405959,0.595940405959
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,MC Shapley,Greedy seq. del.,250,0.00233572995813,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,MC Shapley,Random control,250,0.00255571455809,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,LIME,LOO,250,-1.87929800619e-05,0.022297770223,222,10000,0.0891910808919,0.0891910808919
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,LIME,Greedy seq. del.,250,0.00241537333039,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,LIME,Random control,250,0.00263535793035,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,LOO,Greedy seq. del.,250,0.00243416631045,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,LOO,Random control,250,0.00265415091041,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / joint_effect_target_margin,10,Greedy seq. del.,Random control,250,0.000219984599964,0.136186381362,1361,10000,0.408559144086,0.408559144086
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,MC Shapley,LIME,250,-0.000859925305583,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,MC Shapley,LOO,250,-0.000859925305583,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,MC Shapley,Greedy seq. del.,250,-0.00098913865626,0.495250474953,4952,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,MC Shapley,Random control,250,-0.00297759075136,0.033896610339,338,10000,0.33896610339,0.33896610339
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,LIME,LOO,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,LIME,Greedy seq. del.,250,-0.000129213350677,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,LIME,Random control,250,-0.00211766544578,0.0975902409759,975,10000,0.874712528747,0.874712528747
per-metric family,Amazon / full_catalogue / target_margin / joint_regret_ndcg,10,LOO,Greedy seq. del.,250,-0.000129213350677,1,10000,10000,1,1
