seed,user,n_players,method,method_label,aia,faithfulness_alignment,joint_effect_b2,joint_regret_b2,normalized_regret_b2,actionability_gap,efficiency_error
43,53,20,lime,LIME,0.7654135338345864,0.7654135338345864,-0.0006566729087491008,,,0.0,0.0
43,54,16,shapley_mc,Monte Carlo Shapley,0.961764705882353,0.9647058823529412,-1.7409074399843405e-05,,,-0.002941176470588225,1.734723475976807e-18
43,54,16,loo_oracle,LOO oracle,0.9970588235294118,1.0,-1.7409074399843405e-05,,,-0.002941176470588225,1.734723475976807e-18
43,54,16,lime,LIME,0.9470588235294116,0.9558823529411766,-0.001309611784886533,,,-0.008823529411765008,1.734723475976807e-18
43,55,20,shapley_mc,Monte Carlo Shapley,0.5834586466165413,0.5924812030075187,0.0011148441499489459,,,-0.009022556390977376,0.0
43,55,20,loo_oracle,LOO oracle,0.9954887218045112,1.0,0.00037819792377741246,,,-0.004511278195488799,0.0
43,55,20,lime,LIME,0.8706766917293233,0.8721804511278194,0.00037819792377741246,,,-0.0015037593984961184,0.0
43,56,20,shapley_mc,Monte Carlo Shapley,0.6781954887218045,0.6631578947368421,0.0002395778682866001,,,0.015037593984962405,0.0
43,56,20,loo_oracle,LOO oracle,0.9488721804511278,1.0,-0.0005566590284445949,,,-0.051127819548872244,0.0
43,56,20,lime,LIME,0.7428571428571428,0.863157894736842,-0.0005566590284445949,,,-0.12030075187969924,0.0
43,57,20,shapley_mc,Monte Carlo Shapley,0.8180451127819548,0.7954887218045112,2.8881268639036062e-05,,,0.022556390977443552,1.0842021724855044e-19
43,57,20,loo_oracle,LOO oracle,0.9413533834586465,1.0,-0.0005513093043517658,,,-0.0586466165413535,1.0842021724855044e-19
43,57,20,lime,LIME,0.8721804511278194,0.9654135338345864,-0.0005058657370523578,,,-0.093233082706767,1.0842021724855044e-19
43,58,20,shapley_mc,Monte Carlo Shapley,0.7684210526315788,0.7639097744360903,0.0001014347592990239,,,0.004511278195488466,4.336808689942018e-19
43,58,20,loo_oracle,LOO oracle,0.9729323308270676,1.0,0.0001014347592990239,,,-0.02706766917293235,4.336808689942018e-19
43,58,20,lime,LIME,0.7849624060150376,0.8421052631578947,0.0001014347592990239,,,-0.05714285714285705,4.336808689942018e-19
43,59,20,shapley_mc,Monte Carlo Shapley,0.6541353383458646,0.6090225563909774,0.000625860428047964,,,0.045112781954887216,0.0
43,59,20,loo_oracle,LOO oracle,0.9849624060150375,1.0,-1.6240240802878336e-05,,,-0.015037593984962516,0.0
43,59,20,lime,LIME,0.831578947368421,0.8541353383458646,-0.0006678324515109746,,,-0.022556390977443663,0.0
43,60,7,shapley_mc,Monte Carlo Shapley,0.3214285714285715,0.1785714285714286,0.002094492905358347,,,0.1428571428571429,5.204170427930421e-18
43,60,7,loo_oracle,LOO oracle,0.9642857142857145,1.0,0.0008454968591204426,,,-0.035714285714285476,5.204170427930421e-18
43,60,7,lime,LIME,0.8571428571428573,0.8928571428571429,0.0008554004456137188,,,-0.03571428571428559,5.204170427930421e-18
43,61,20,shapley_mc,Monte Carlo Shapley,0.6511278195488721,0.6120300751879698,5.0774524163077484e-05,,,0.0390977443609023,4.336808689942018e-19
43,61,20,loo_oracle,LOO oracle,0.9804511278195487,1.0,5.0774524163077484e-05,,,-0.019548872180451315,4.336808689942018e-19
43,61,20,lime,LIME,0.9548872180451128,0.9413533834586465,5.0774524163077484e-05,,,0.013533834586466287,4.336808689942018e-19
43,62,20,shapley_mc,Monte Carlo Shapley,0.9172932330827066,0.8917293233082706,3.717170294309513e-05,,,0.02556390977443601,4.336808689942018e-19
43,62,20,loo_oracle,LOO oracle,0.9789473684210527,1.0,3.717170294309513e-05,,,-0.021052631578947323,4.336808689942018e-19
43,62,20,lime,LIME,0.9609022556390976,0.9849624060150375,3.717170294309513e-05,,,-0.024060150375939893,4.336808689942018e-19
43,63,20,shapley_mc,Monte Carlo Shapley,0.9398496240601503,0.9398496240601503,-0.0068096829992095875,,,0.0,2.0816681711721685e-17
43,63,20,loo_oracle,LOO oracle,1.0,1.0,-0.0068096829992095875,,,0.0,2.0816681711721685e-17
43,63,20,lime,LIME,0.9834586466165413,0.9834586466165413,-0.0068096829992095875,,,0.0,2.0816681711721685e-17
43,64,20,shapley_mc,Monte Carlo Shapley,0.6225563909774435,0.5172932330827067,-2.6948912604018993e-05,,,0.10526315789473684,2.168404344971009e-19
43,64,20,loo_oracle,LOO oracle,0.9368421052631578,1.0,-0.0003076210891322928,,,-0.06315789473684219,2.168404344971009e-19
43,64,20,lime,LIME,0.706766917293233,0.806015037593985,-0.0003076210891322928,,,-0.09924812030075192,2.168404344971009e-19
43,65,14,shapley_mc,Monte Carlo Shapley,0.9164835164835166,0.9032967032967033,0.001656024188770422,,,0.013186813186813251,4.336808689942018e-18
43,65,14,loo_oracle,LOO oracle,0.9956043956043955,1.0,0.001656024188770422,,,-0.004395604395604491,4.336808689942018e-18
43,65,14,lime,LIME,0.9340659340659341,0.9428571428571428,0.001656024188770422,,,-0.00879120879120876,4.336808689942018e-18
43,66,20,shapley_mc,Monte Carlo Shapley,0.5233082706766917,0.5639097744360902,0.0004116755664781979,,,-0.04060150375939853,8.673617379884035e-19
43,66,20,loo_oracle,LOO oracle,0.9639097744360902,1.0,8.585161188845447e-06,,,-0.03609022556390984,8.673617379884035e-19
43,66,20,lime,LIME,0.7849624060150376,0.8466165413533834,0.00010890945701408361,,,-0.06165413533834574,8.673617379884035e-19
43,67,20,shapley_mc,Monte Carlo Shapley,0.8406015037593983,0.8285714285714285,0.0005774122580685659,,,0.012030075187969835,1.734723475976807e-18
43,67,20,loo_oracle,LOO oracle,0.9834586466165413,1.0,-3.517175342887535e-05,,,-0.016541353383458746,1.734723475976807e-18
43,67,20,lime,LIME,0.9443609022556391,0.9593984962406013,-0.000713714310241087,,,-0.015037593984962183,1.734723475976807e-18
43,68,20,shapley_mc,Monte Carlo Shapley,0.5112781954887218,0.45112781954887216,-0.00014314837595130747,,,0.06015037593984962,0.0
43,68,20,loo_oracle,LOO oracle,0.9293233082706768,1.0,-0.000559394571939098,,,-0.07067669172932323,0.0
43,68,20,lime,LIME,0.7458646616541353,0.806015037593985,-1.617431701794736e-06,,,-0.06015037593984962,0.0
43,69,20,shapley_mc,Monte Carlo Shapley,0.9233082706766916,0.9308270676691727,-0.0019748366263406814,,,-0.007518796992481036,1.734723475976807e-18
